,agent,address,beds,receptions,baths,post_code
2861,Abode Estate Agency,"Lomond Court, Coatbridge ML5",2,1,2,ML5
2862,Yopa,"Polmuir Road, Aberdeen AB11",3,1,2,AB11
2863,"Purplebricks, Head Office","6 Arneil Drive, Edinburgh EH5",3,1,2,EH5
2864,24-7 Property Letting Ltd (Glasgow East End),"Canmore Street, Glasgow G31",1,1,1,G31
2865,AB Properties,"2/3, 35 South Vennel, Lanark ML11",1,1,1,ML11
2866,Allen & Harris - Kilmarnock,"Aberfeldy Place, Annandale, Kilmarnock KA1",3,1,2,KA1
2867,Miller Gerrard,"6 Airlie Place, Alyth PH11",1,1,1,PH11
2868,Countrywide Scotland - Dennistoun,"Meadowpark Street, Dennistoun, Glasgow G31",2,1,1,G31
2869,"Purplebricks, Head Office","Long Walk Road, Aberdeen AB16",2,1,1,AB16
2870,"Purplebricks, Head Office","Coal Neuk Corner, Tranent EH33",5,3,3,EH33
2871,Slater Hogg & Howison - Paisley Sales,"Glasgow Road, Paisley, Renfrewshire PA1",2,1,1,PA1
2872,Penny Lane Homes,"Russell Street, Johnstone PA5",2,1,1,PA5
2873,"Purplebricks, Head Office","1 Arrochar Street, Glasgow G23",1,1,1,G23
2874,Young Robertson and Co,"Argyle Square, Wick KW1",3,1,2,KW1
2875,Morton Napier,"Station Road, Cardenden, Lochgelly KY5",5,2,2,KY5
2876,David Britton Estates,"Roweltown, Carlisle CA6",3,1,1,CA6
2877,Premier Properties Perth,"Matthews Drive, Perth PH1",2,1,1,PH1
2881,"Purplebricks, Head Office","Great North Road, Muir Of Ord IV6",1,1,1,IV6
2882,Countrywide Scotland - Shawlands Sales,"Clincart Road, Glasgow, Lanarkshire G42",2,1,1,G42
2883,Thorntons Law LLP - Perth,"Norlands, Errol, Perth PH2",2,1,1,PH2
2884,Neill Clerk Estate Agents,"Kelly Street, Greenock PA16",2,1,1,PA16
2885,"Clyde Property, Clarkston","Busby Road, Flat 2/1, Clarkston, Glasgow G76",2,2,1,G76
2886,Countrywide Scotland - Hamilton Sales,"Ayr Road, Glespin, Lanark, South Lanarkshire ML11",2,1,1,ML11
2887,Harper Macleod,"Ashburton Court, Elgin IV30",2,2,1,IV30
2888,Countrywide Scotland - Glasgow West End Sales,"Apsley Street, Partick, Glasgow G11",1,1,1,G11
2890,Slater Hogg & Howison - Hamilton Sales,"Fenwick Drive, Hamilton, South Lanarkshire, . ML3",4,3,3,ML3
2893,Ballantynes,"19 Stevenson Grove, Westfield, Edinburgh EH11",2,1,1,EH11
2894,Slater Hogg & Howison - Hamilton Sales,"Bellfield Road, Coalburn, Lanark, South Lanarkshire ML11",2,1,1,ML11
2895,Slater Hogg & Howison - Dennistoun,"Alexandra Gate, Dennistoun, Glasgow G31",2,1,2,G31
2896,Remax,"Clepington Road, Dundee DD3",2,1,1,DD3
2897,Slater Hogg & Howison - Clarkston,"Brownmuir Avenue, Eaglesham, East Renfrewshire G76",2,1,1,G76
2898,Mike Smith Properties,"Beech Road, Lenzie, Glasgow G66",4,2,2,G66
2901,Barratt Homes - Westburn Gardens,"""Griffith"" at 55 May Baird Wynd, Aberdeen AB23",2,2,2,AB23
2903,Home Sweet Home Estate Agents,"Slackbuie Park Mews, Inverness IV2",2,1,1,IV2
2905,Hebridean Estate Agency,"Scalpay, Isle Of Harris HS3",4,2,2,HS3
2906,Simple Approach Estate Agents,"Elm Court, Bridge Of Earn, Perth PH2",1,1,1,PH2
2907,"Clyde Property, Stirling","Annfield Gardens, Stirling, Stirling FK8",2,1,1,FK8
2908,Taits Estate Agents,"Bountrees, Jedburgh TD8",2,1,1,TD8
2912,RE/MAX Clydesdale & Tweeddale,"The Woodlands, Burnhead Road, Symington ML12",4,1,3,ML12
2913,Pacitti Jones,"2/3, 2 Springfield Gardens, Glasgow G31",2,1,2,G31
2914,DJ Alexander,"23/1 (Gf) Learmonth Terrace, Edinburgh EH4",2,1,1,EH4
2916,"Clyde Property, West End","One Hyndland Avenue Development, Plot 22 - Duplex, West End, Glasgow G11",3,1,3,G11
2917,Harper Macleod,"Bridge Of Walls, Shetland ZE2",1,1,1,ZE2
2918,Coulters Stockbridge,"5/3 Tarvit Street, Brunstfield, Edinburgh EH3",3,1,2,EH3
2919,Coulters Stockbridge,"31 Primrose Terrace, Shandon, Edinburgh EH11",3,1,2,EH11
2922,Village Estates,"Garngaber Place, Moodiesburn G69",2,1,1,G69
2923,Arthur & Simpson,"Dale, Voe, Shetland ZE2",4,1,1,ZE2
2924,O'Malley Property,"Alloa Road, Stirling FK9",2,1,1,FK9
2925,Macpherson Property,"Harleyburn Drive, Melrose TD6",5,2,3,TD6
2926,Igloo,"Keswick Drive, Hamilton ML3",4,1,3,ML3
2927,"Allen & Harris - Clarkston, Glasgow","Park Crescent, Eaglesham, Glasgow G76",3,2,1,G76
2928,Penny Lane Homes,"Elizabethan Way, Renfrew PA4",3,1,1,PA4
2931,"Clyde Property, Shawlands","Ettrick Place, Flat 3/2, Shawlands, Glasgow G43",1,1,1,G43
2934,Re/Max Property Marketing Centre (ABERDEEN LTD),"Pitcaple, Inverurie AB51",4,2,3,AB51
2936,Your Move - Edinburgh,"Leith Walk, Edinburgh, Midlothian EH6",1,1,1,EH6
2937,Re/Max Property Marketing Centre (ABERDEEN LTD),"Ladywood Drive, Aboyne AB34",2,1,2,AB34
2938,McIntyre & Company,"Newton, Invergarry, Fort William PH35",2,1,1,PH35
2939,Slater Hogg & Howison - Greenock Sales,"Sandringham Terrace, Esplanade, Greenock PA16",2,1,1,PA16
2940,Vanilla Square,"Hillhead Street, Glasgow G12",2,1,2,G12
2941,Aberdein Considine,"3/2, White Street, Glasgow G11",1,1,1,G11
2942,Fife Properties Sales & Lettings,"Cairns Street West, Kirkcaldy KY1",2,2,1,KY1
2943,"Purplebricks, Head Office","10 Muir Street, Renfrew PA4",1,1,1,PA4
2945,Delmor Estate Agents,"Pratt Street, Kirkcaldy, Fife KY1",1,1,1,KY1
2947,Stewart & Watson,"Land Street, Rothes AB38",3,1,1,AB38
2948,"Purplebricks, Head Office","High Street, Kirkcaldy KY1",1,1,1,KY1
2949,Re/Max Property Marketing Centre (ABERDEEN LTD),"Greystone Road, Alford AB33",4,2,1,AB33
2950,McEwan Fraser Legal,"King Street, Peterhead, Aberdeenshire AB42",3,1,1,AB42
2951,Yopa,"Chisholm Place, Grangemouth FK3",2,2,1,FK3
2952,McEwan Fraser Legal,"Lochend Road South, Musselburgh EH21",1,1,1,EH21
2953,McEwan Fraser Legal,"Ravelston House Park, Edinburgh EH4",2,1,1,EH4
2954,Highland Residential,"Dalbeg Road, Carrbridge PH23",2,1,1,PH23
2955,McEwan Fraser Legal,"Airbles Road, Motherwell, North Lanarkshire ML1",3,2,2,ML1
2958,Fords Daly Legal,"Dunnikier Road, Kirkcaldy KY1",2,1,2,KY1
2959,McEwan Fraser Legal,"Southesk Street, Brechin, Angus DD9",3,2,2,DD9
2960,Highland Residential,"Achintore Road, Fort William PH33",2,1,1,PH33
2961,Lindsays,"Flat 6, Appin Place, Slateford, Edinburgh EH14",3,1,3,EH14
2963,"Clyde Property, Shawlands","Riverton Court, 180 Riverford Rd, Newlands, Glasgow G43",1,1,1,G43
2964,Possible Estate Agents,"15 Vasart Court, Perth PH1",2,1,2,PH1
2965,Your Move - Montrose,"Dunlin Walk, Montrose, Angus DD10",4,2,3,DD10
2966,"Springbok Properties, Nationwide","Main Street, Kyle Of Lochalsh, Ross-Shire IV40",5,1,2,IV40
2968,E2W Property,"King Duncan`S Road, Raigmore Estate IV2",3,1,1,IV2
2970,Keller Williams Evolve,"Main Street, Glenboig, North Lanarkshire ML5",5,1,3,ML5
2971,Grant Smith Law Practice Ltd,"65 East Church Street, Buckie AB56",3,3,2,AB56
2972,Home Sweet Home Estate Agents - Fife,"Kenmore Terrace, Kirkcaldy KY2",3,1,1,KY2
2973,"Clyde Property, Edinburgh","Milton Street, Abbeyhill, Edinburgh EH8",2,1,1,EH8
2974,"Clyde Property, Perth","Canal Street, Perth, Perthshire PH2",2,1,1,PH2
2975,Property Connections Estate Agency LTD,"Stuart Terrace, Bathgate EH48",2,1,2,EH48
2977,Stonefield Estate Agents,"Bank Avenue, Cumnock KA18",4,2,1,KA18
2978,Campbell Sievewright & Co,"Cavendish Street, Glasgow G5",2,1,1,G5
2980,LJ Residential,"3 Queens Crescent, Lockerbie, Dumfries &amp; Galloway DG11",1,1,1,DG11
2981,"Purplebricks, Head Office","Shillinghill, Alness IV17",3,1,1,IV17
2982,Bensons Estate Agents,"Bridie Terrace, East Kilbride, Glasgow G74",2,1,1,G74
2983,Rollos Law LLP,"Ronan, Back Street, Freuchie, Fife KY15",3,1,1,KY15
2984,R and R Urquhart llp,"Rengar, Lochloy Road, Nairn IV12",3,2,1,IV12
2985,Slater Hogg & Howison - Glasgow West End Sales,"Fairlie Park Drive, Partick, Glasgow G11",1,1,1,G11
2986,MQ Estate Agents & Lettings,"Dalgleish Avenue, Clydebank, West Dunbartonshire G81",3,1,1,G81
2987,Remax,"Kinclaven Drive, Dundee DD3",3,2,1,DD3
2988,Yopa,"Lowerhall Street, Montrose DD10",3,2,2,DD10
2989,Thorntons Law LLP - Anstruther,"Craws Nest Court, Anstruther KY10",1,1,1,KY10
2990,Keller Williams,"Orchard Brae Avenue, Orchard Brae, Edinburgh EH4",2,1,1,EH4
2991,Grampian Property Centre,"Lennox Crescent, Fochabers IV32",4,3,1,IV32
2992,Moving Estate Agents,"Morningside Street, Glasgow G33",2,1,1,G33
2993,T Duncan & Co,"High Street, Montrose DD10",3,1,3,DD10
2994,Slater Hogg & Howison - Falkirk Sales,"Corbiehall, Bo'ness EH51",1,1,1,EH51
2995,Scottish Highland Properties,"Sgitheach House, Balconie Street, Evanton IV16",2,1,1,IV16
2996,Murray Snell,"Gillespie Crescent, Edinburgh EH10",3,2,1,EH10
2997,Residence,"Kirk Street, Strathaven ML10",3,1,1,ML10
2998,Slater Hogg & Howison - East Kilbride Sales,"Red Deer Road, Westwood, East Kilbride, South Lanarkshire G75",2,1,1,G75
2999,ELP Arbuthnott McClanachan,"11/9 Dudley Avenue South, Trinity, Edinburgh EH6",2,1,1,EH6
3000,Neilsons Solicitors & Estate Agents,"9/8 Sienna Gardens, Edinburgh EH9",3,1,1,EH9
3006,McEwan Fraser Legal,"Mavisbank Gardens, Glasgow G51",1,1,1,G51
3007,"Purplebricks, Head Office","Main Street, Ceres KY15",2,1,1,KY15
3008,Fife Properties Sales & Lettings,"Hillhead Street, Lundin Links, Leven KY8",2,1,1,KY8
3009,Portolio,"Lenzie Avenue, Livingston EH54",3,1,1,EH54
3011,Portolio,"Broughton Road, Edinburgh EH7",1,1,1,EH7
3012,Portolio,"Almondhill Road, Kirkliston EH29",3,2,2,EH29
3013,Yopa,"Braoch Road, Montrose DD10",3,3,1,DD10
3014,National Property,"Swainbost, Isle Of Lewis HS2",2,1,1,HS2
3015,Yopa,"Wellington Gardens, Montrose DD10",5,2,2,DD10
3016,Yopa,"Sorbie, Newton Stewart DG8",4,3,1,DG8
3017,Delmor Estate Agents,"High Street, Kirkcaldy, Fife KY1",2,1,1,KY1
3018,Glow Homes Letting & Sales,"Mayfield Crescent, Stevenston KA20",3,1,1,KA20
3019,McJerrow & Stevenson,"School Road, Hightae, Lockerbie DG11",4,3,3,DG11
3021,Slater Hogg & Howison - Falkirk Sales,"Crookston Court, Larbert FK5",2,1,1,FK5
3022,Revere,"19 West Cairn Crescent, Penicuik EH26",3,1,1,EH26
3023,Lindsays,"Old Coach House, Dundee Road, Meigle, Blairgowrie PH12",4,3,1,PH12
3024,Lindsays,"New Mart Place, Chesser, Edinburgh EH14",2,1,2,EH14
3025,"Purplebricks, Head Office","130 Deanston Drive, Glasgow G41",2,1,1,G41
3032,Possible Estate Agents,"163 Dunsinane Drive, Perth PH1",2,1,1,PH1
3040,Aberdein Considine,"2/1, Carmunnock Road, Glasgow G44",1,1,1,G44
3041,Aberdein Considine,"Mosside Terrace, Bathgate EH48",3,1,2,EH48
3042,Savills - Edinburgh Country Houses,"Oakwood, Ochtertyre, Stirling FK9",5,3,4,FK9
3043,AB Properties,"20 St Leonard Street, Lanark ML11",1,1,1,ML11
3044,Aberdein Considine,"South Inch Park, Perth PH2",3,2,1,PH2
3045,Slater Hogg & Howison - East Kilbride Sales,"Sutherland Way, Brancumhall, East Kilbride, South Lanarkshire G74",3,1,1,G74
3046,Cochran Dickie (Paisley),"Stanely Crescent, Paisley PA2",5,3,2,PA2
3047,Pacitti Jones,"11 Forties Gardens, Glasgow G46",3,1,1,G46
3048,Simple Approach Estate Agents,"Saucher, Kinrossie, Perth PH2",4,1,2,PH2
3049,Slater Hogg & Howison - East Kilbride Sales,"Blackbraes Avenue, Calderwood, East Kilbride, South Lanarkshire G74",3,1,3,G74
3052,GSB Properties,"14 Old Dean Road, Longniddry EH32",3,2,1,EH32
3053,Miller Homes - Stoneyetts Village,"""Oakwood"" at Penzance Way, Chryston, Glasgow G69",4,3,2,G69
3054,Premier Properties Perth,"Earnbank, Bridge Of Earn, Perth PH2",1,1,1,PH2
3055,"Clyde Property, Clarkston","Hillcrest, Carmunnock, Glasgow G76",2,1,1,G76
3056,Premier Properties Perth,"Baca &amp; Annexe, Tibbermore, Perth PH1",4,2,2,PH1
3057,Harper Robertson and Shannon,"St Johns Road, Annan DG12",5,2,1,DG12
3058,Hodge Solicitors LLP,"George Street, Coupar Angus, Perthshire PH13",3,2,1,PH13
3060,James Agent,"Cademuir Drive, Peebles EH45",3,2,1,EH45
3061,"Purplebricks, Head Office","Brock Road, Inverness IV2",4,2,1,IV2
3062,Abode Estate Agency,"Bredisholm Road, Baillieston G69",3,1,2,G69
3063,Hoppers Estate Agency Ltd,"South Lodge Court, Ayr KA7",2,1,1,KA7
3064,T Duncan & Co,"Victoria Street, Montrose DD10",2,1,1,DD10
3065,Stonefield Estate Agents,"Hillfoot Road, Ayr KA7",4,2,3,KA7
3068,Ralph Hendrie Legal,"9B Canning Street Lane, Edinburgh EH3",1,1,1,EH3
3069,Paul Rolfe Sales & Lettings,"41 Kinloch View, Linlithgow EH49",1,1,1,EH49
3071,Your Move - Edinburgh,"Craigmillar Castle Gardens, Edinburgh, Midlothian EH16",4,2,3,EH16
3072,Verdala,"Tealing, Dundee DD4",4,1,2,DD4
3073,"Clyde Property, West End","Woodlands Court, 22 Woodlands Terrace, Park District, Glasgow G3",1,1,1,G3
3074,Slater Hogg & Howison - Greenock Sales,"Mount Pleasant Street, Greenock, Inverclyde, . PA15",2,1,1,PA15
3076,Robertson Homes - Glendevon Grange,"""Hutton Grand"" at Church Place, Winchburgh, Broxburn EH52",5,3,3,EH52
3078,Joyce Heeps Homes LTD,"Telford Road, The Murray, East Kilbride G75",2,1,1,G75
3079,Neill Clerk Estate Agents,"Wellington Way, Greenock PA15",2,1,2,PA15
3080,Boom,"Sandy Road, Renfrew PA4",1,1,1,PA4
3081,Yopa,"Hilton Road, Woodside, Aberdeen AB24",3,1,2,AB24
3084,Grampian Property Centre,"Pine Court, Forres IV36",2,1,1,IV36
3085,Alba Property,"West Main Street, Broxburn EH52",1,1,1,EH52
3087,"Purplebricks, Head Office","Innes Park Road, Skelmorlie PA17",3,1,1,PA17
3089,Slater Hogg & Howison - Largs,"Castlebay Court, Largs, North Ayrshire KA30",3,1,1,KA30
3090,Mains Estate Agents,"Strathblane Road, Milngavie, Glasgow G62",3,1,2,G62
3091,Neilsons Solicitors & Estate Agents,"50 Clermiston Road, Edinburgh EH12",3,2,1,EH12
3092,Warners,"97/7 West Bow, Old Town, Edinburgh EH1",2,1,1,EH1
3093,Pacitti Jones,"0/3, 286, Springburn Road, Glasgow G21",2,1,1,G21
3094,Neilsons Solicitors & Estate Agents,"8 Easter Dalry Rigg, Edinburgh EH11",3,2,1,EH11
3095,Countrywide Scotland - Glasgow Sales,"Watson Street, Merchant City, Glasgow G1",2,1,1,G1
3096,VMH Solicitors,"33 (Gf2) Milton Street, Abbeyhill, Edinburgh EH8",1,1,1,EH8
3097,Cochran Dickie,"3 Neva Place, Main Street, Bridge Of Weir PA11",3,2,1,PA11
3098,Mov8 Real Estate,"Snowdrop Path, East Calder, Livingston EH53",5,2,3,EH53
3099,Warners,"5/1 Lochend Butterfly Way, Easter Road, Edinburgh EH7",2,1,2,EH7
3100,David Wilson Homes - Weirs Wynd,"""Campsie"" at Barochan Road, Houston, Johnstone PA6",4,2,3,PA6
3101,McQueen Legal,"4 1F2, Church Hill Place, Edinburgh EH10",3,2,1,F2
3102,"Purplebricks, Head Office","Barvas Walk, Aberdeen AB16",2,1,1,AB16
3103,Possible Estate Agents,"5 The Maltings, North William Street, Perth PH1",3,1,2,PH1
3104,"Purplebricks, Head Office","Edrom Court, Glasgow G32",2,1,1,G32
3105,"Purplebricks, Head Office","Cherrybank Gardens, Newton Mearns, Glasgow G77",3,1,1,G77
3106,Murray Snell,"Bryson Road, Edinburgh EH11",1,1,1,EH11
3107,Re/Max Property Marketing Centre (ABERDEEN LTD),"Methlick, Ellon AB41",5,1,4,AB41
3108,Your Move - Kirkcaldy,"Dunnikier Road, Kirkcaldy, Fife KY1",2,1,2,KY1
3109,RE/MAX Property Marketing Centre,"Baillie Avenue, Harthill, Shotts ML7",2,1,1,ML7
3110,DMD Law,"15/2 Appin Place, Edinburgh EH14",3,2,2,EH14
3111,Residence,"Plot 3 The Clyde, Clyde Gardens, Garrion Bridge ML9",5,2,4,ML9
3112,"Purplebricks, Head Office","20 Lightburn Road, Glasgow G72",2,1,1,G72
3113,Brown & Co Properties,"East Main Street, Whitburn EH47",5,3,2,EH47
3115,Moving Estate Agents,"Kelso Street, Glasgow G13",3,1,1,G13
3116,"Clyde Property, Clarkston","Dale Lane, East Kilbride, Lanarkshire G75",4,3,4,G75
3117,Yopa,"Cairnhill Way, Newtonhill, Stonehaven AB39",3,1,2,AB39
3118,Truscott Property,"11/6 Dundonald Street, New Town, Edinburgh EH3",3,3,1,EH3
3121,Slater Hogg & Howison - Livingston,"Edinburgh Road, Braehead, By Forth, South Lanarkshire ML11",2,1,1,ML11
3122,Warners,"40 Grove Street, Musselburgh EH21",2,1,1,EH21
3123,Penworth Properties Estate Agents,"Church Lane, Kilsyth, Kilsyth G65",3,1,1,G65
3124,Warners,"9/12 Newton Street, Gorgie, Edinburgh EH11",1,1,1,EH11
3126,VMH Solicitors,"5/7 Sinclair Place, Edinburgh EH11",2,1,2,EH11
3127,Yopa,"Carrick Knowe Drive, Edinburgh EH12",3,1,1,EH12
3128,ELP Arbuthnott McClanachan,"10 St. John's Terrace, Corstorphine, Edinburgh EH12",3,2,2,EH12
3129,Macpherson Property,"Stonyford, Lauder TD2",3,1,2,TD2
3131,National Property,"Low Craigends, Kilsyth, Glasgow G65",2,1,1,G65
3134,Yopa,"Renny Crescent, Montrose DD10",2,2,1,DD10
3135,Boom,"Edenville, 93 Main Street, Dunlop KA3",1,1,1,KA3
3136,Murray Beith Murray,"3/7 Buccleuch Terrace, Edinburgh EH8",2,2,1,EH8
3137,Stuart and Stuart WS,"1 Waverley House, Main Street, West Linton EH46",3,1,1,EH46
3138,Warners,"5C, Fishers Wynd, Musselburgh EH21",3,1,1,EH21
3139,Boom,"Chapel Road, Houston, Johnstone PA6",4,1,3,PA6
3140,McDougall McQueen,"15 Clerk Street, Loanhead EH20",2,1,1,EH20
3141,Yopa,"Tyne Court, Haddington EH41",3,1,1,EH41
3142,Yopa,"Lomond View, Westfield, Bathgate EH48",3,1,2,EH48
3143,Ralph Hendrie Legal,"34 Polton Street, Bonnyrigg EH19",2,1,1,EH19
3145,Greig Residential,"Greenbank Courtyard, Darvel KA17",2,2,2,KA17
3146,Greig Residential,"Richardson Avenue, Hurlford, Kilmarnock KA1",2,1,1,KA1
3147,Robertson Homes - Glendevon Grange,"""Clemente Garden Room"" at Church Place, Winchburgh, Broxburn EH52",4,2,2,EH52
3148,Mov8 Real Estate,"Western Harbour Place, Newhaven, Edinburgh EH6",1,1,1,EH6
3149,Robertson Homes - Newton Manor,"""Lawrie Garden Room"" at Newton Manor EH42",5,2,3,EH42
3151,Ballantynes,"Downie Place, Musselburgh EH21",2,1,1,EH21
3153,Robertson Homes - Glendevon Grange,"""Everett Garden Room "" at Church Place, Winchburgh, Broxburn EH52",4,2,3,EH52
3156,"Purplebricks, Head Office","South Hermitage Street, Newcastleton TD9",3,1,1,TD9
3157,On The Move,"Herriot Street, Coatbridge ML5",2,1,1,ML5
3159,Neilsons Solicitors & Estate Agents,"23/5 Ardmillan Terrace, Edinburgh EH11",2,2,1,EH11
3160,Yopa,"Mosspark Road, Dumfries DG1",4,2,2,DG1
3161,On The Move,"Frederick Street, Coatbridge ML5",1,1,1,ML5
3162,"Purplebricks, Head Office","193 Roxburgh Street, Greenock PA15",2,1,1,PA15
3163,Warners,"28 Carnegie Court, Newington, Edinburgh EH8",3,1,1,EH8
3164,Unicornhomes.co.uk,"Cook Street, Tradeston G5",2,1,1,G5
3165,"Springbok Properties, Nationwide","Glenbuchty Place, Fraserburgh, Aberdeenshire AB43",3,1,1,AB43
3166,"Springbok Properties, Nationwide","Pitgaveny Court, Elgin, Inverness-Shire IV30",3,1,1,IV30
3167,Slater Hogg & Howison - Greenock Sales,"Flat 7, Fox Street, Greenock, Inverclyde PA16",2,2,1,PA16
3168,Peter Murphy & Co Estate Agents Ltd,"Pinegrove Court, Fort William PH33",2,1,1,PH33
3169,"Purplebricks, Head Office","Stirling Acres Road, Kirkcudbright DG6",5,1,1,DG6
3170,Alba Property,"West Main Street, Broxburn EH52",1,1,1,EH52
3171,Yopa,"Kincardine Street, Montrose DD10",2,1,2,DD10
3172,"Purplebricks, Head Office","Benny Drive, Denny FK6",4,1,1,FK6
3173,Your Move - Dalkeith,"Mckinnon Drive, Mayfield, Dalkeith, Midlothian EH22",4,2,1,EH22
3174,RGM Solicitors,"2 Redhouse Cottages, Threemiletown EH49",4,1,2,EH49
3175,Yopa,"Mill Street, Dingwall IV15",2,1,1,IV15
3176,Belvoir - Edinburgh,"Newhaven Road, Newhaven, Edinburgh EH6",1,1,1,EH6
3178,Re/Max Property Marketing Centre (ABERDEEN LTD),"Kintore, Inverurie AB51",3,2,2,AB51
3180,Slater Hogg & Howison - Kilmarnock Sales,"Fairyhill Road, Kilmarnock, East Ayrshire KA1",2,1,1,KA1
3183,Slater Hogg & Howison - Glasgow West End Sales,"Kelvinhaugh Street, Yorkhill, Glasgow, Lanarkshire G3",3,1,2,G3
3184,Tailor Made Moves Ltd,"12 Warrand Road, Bught, Inverness. IV3",2,1,1,IV3
3185,Pacitti Jones,"2/2, 89 Oban Drive, North Kelvinside, Glasgow G20",1,1,1,G20
3186,Gibson Estate Agents,"Maurice Place, Edinburgh EH9",2,3,1,EH9
3187,"Allen & Harris - Bishopbriggs, Glasgow","Dumbarton Road, Whiteinch, Glasgow G14",2,1,1,G14
3189,"Purplebricks, Head Office","Rose Street, Edinburgh EH2",2,1,1,EH2
3190,Keller Williams,"Brisbane Street, Greenock, Inverclyde PA16",2,1,1,PA16
3191,"Purplebricks, Head Office","105 Urquhart Road, Aberdeen AB24",2,1,1,AB24
3192,ELP Arbuthnott McClanachan,"43/7 Gardner's Crescent, Fountainbridge, Edinburgh EH3",3,1,3,EH3
3193,JBM Estate Agents,"5 Castle Knowe Way, Cardrona, Peebles EH45",4,3,3,EH45
3194,Premier Properties Perth,"Melville Street, Perth PH1",1,1,1,PH1
3195,Next Home Estate Agents,"Athole Drive, Stanley, Perth PH1",2,1,1,PH1
3196,R and R Urquhart llp,"56 Station Road, Ardersier IV2",3,1,1,IV2
3197,Possible Estate Agents,"34c South Methven Street, Perth PH1",1,1,1,PH1
3198,On The Move,"North Bridge Street, Airdrie ML6",2,1,2,ML6
3199,Vanilla Square,"Cleveden Road, Kelvinside, Glasgow G12",3,1,1,G12
3201,Warners,"2 (1F4), Salmond Place, Abbeyhill, Edinburgh EH7",1,1,1,F4
3202,Regents Estates and Mortgages,"St. Fillans Crescent, Aberdour, Burntisland KY3",5,2,2,KY3
3203,AB Property Consultants & Estate Agents G69,"Ardargie Drive, Carmyle, Glasgow G32",2,1,1,G32
3204,Countrywide Scotland - Baillieston,"Balmoral Drive, Carmyle, Glasgow G32",3,1,1,G32
3206,Countrywide Scotland - Airdrie,"Burniebrae, Airdrie, North Lanarkshire ML6",2,1,1,ML6
3208,Coulters Stockbridge,"16 Lanark Road West, Currie, Edinburgh EH14",5,3,2,EH14
3209,Yopa,"Achareidh Steading, Wyvis Drive, Nairn IV12",5,1,2,IV12
3210,"Purplebricks, Head Office","Mellerstain Drive, Glasgow G14",2,1,1,G14
3211,Igloo,"Clyde Street, Carluke ML8",2,1,2,ML8
3212,Thorntons Law LLP - Anstruther,"James Street, Pittenweem, Anstruther KY10",1,1,1,KY10
3213,Find My Buyer Ltd,"17 Mount Road, Montrose DD10",3,2,2,DD10
3214,Stonefield Estate Agents,"Bruce Crescent, Ayr KA7",4,3,3,KA7
3216,Thorntons Law LLP - St. Andrews,"Lade Braes, St. Andrews KY16",3,1,1,KY16
3218,Hastings and Co - Borders Property and Legal,"24 West High Street, Greenlaw, Duns TD10",2,1,1,TD10
3219,"Clyde Property, Shawlands","Kenmure Street, Flat 1/2, Pollokshields, Glasgow G41",2,1,1,G41
3220,Murray & Currie,"56 Belford Road, Dean Village, Edinburgh EH4",2,1,1,EH4
3221,Yopa,"Camphill Road, Broughty Ferry, Dundee DD5",5,3,3,DD5
3222,Ralph Hendrie Legal,"30 Broombank Terrace, Corstorphine, Edinburgh EH12",2,1,1,EH12
3223,Countrywide Scotland - Hamilton Sales,"Crossbow Gardens, Blantyre, Glasgow, South Lanarkshire G72",4,1,4,G72
3225,Warners,"70/2 St Leonards Street, Newington, Edinburgh EH8",2,1,1,EH8
3226,Neill Clerk Estate Agents,"Roxburgh Street, Greenock PA15",2,1,1,PA15
3227,"Allen & Harris - Clarkston, Glasgow","Redwood Crescent, East Kilbride, Glasgow G74",4,2,2,G74
3228,Savills - Edinburgh Town,"43 Inverleith Row, Inverleith, Edinburgh EH3",4,3,3,EH3
3230,Remax,"Park Avenue, Dundee DD4",1,1,1,DD4
3231,Unicornhomes.co.uk,"Silverbanks Court, Cambuslang G72",2,1,2,G72
3232,Blackadders,"9 Cammo Hill, Edinburgh EH4",4,3,1,EH4
3233,Remax,"Carbet Castle, Camphill Road, Broughty Ferry DD5",3,1,2,DD5
3235,Your Move - Falkirk,"Balloch View, Cumbernauld, Glasgow, North Lanarkshire G67",2,1,1,G67
3239,McEwan Fraser Legal,"Lyoncross Dennyloanhead, Bonnybridge FK4",5,2,4,FK4
3240,Slater Hogg & Howison - Greenock Sales,"Ashburn Gardens, Gourock, Inverclyde PA19",2,1,1,PA19
3243,Barratt Homes - Findrassie,"""Coull"" at Lossiemouth Road, Elgin IV30",3,2,1,IV30
3244,Barratt Homes - Findrassie,"""Coull"" at Lossiemouth Road, Elgin IV30",3,2,1,IV30
3245,Clydebank Estate and Letting Agents,"Keal Avenue, Knightswood, Glasgow G15",2,1,1,G15
3246,Barratt Homes - Gilmerton Heights,"""Fenton"" at Gilmerton Station Road, Edinburgh EH17",4,2,2,EH17
3247,Moving Estate Agents,"2/2, 22 Hotspur Street, Glasgow G20",2,1,1,G20
3252,DJ Alexander,"13 (Pf1) Sciennes Road, Edinburgh, Edinburgh EH9",1,1,1,EH9
3253,MSM,"3/2 52 Clarendon Place, St Georges Cross, Glasgow G20",1,1,1,G20
3255,Yopa,"Meadowside Quay Walk, Glasgow G11",2,1,2,G11
3256,Igloo,"Marjory Court, Bathgate EH48",2,1,2,EH48
3257,Clancys Solicitors,"Ingram Street, Glasgow G1",1,1,1,G1
