,agent,address,beds,receptions,baths,post_code
1698,Slater Hogg & Howison - Glenrothes,"Rowan Crescent, Methil, Leven, Fife KY8",2,2,1,KY8
1700,Hemmings Homes,"Hay Crescent, Cambuslang, Glasgow G72",4,1,3,G72
1701,Slater Hogg & Howison - Falkirk Sales,"Stance Place, Larbert FK5",2,1,1,FK5
1703,Gillespie Gifford and Brown,"Inton, High Street, New Galloway, Castle Douglas DG7",2,1,1,DG7
1704,James Thomson and Son,"Lochtybank Cottages, Thornton KY1",3,1,1,KY1
1705,Slater Hogg & Howison - Glasgow West End Sales,"Parkbrae Gate, Ruchill, Glasgow G20",2,1,2,G20
1706,Slater Hogg & Howison - Kilmarnock Sales,"Main Street, Dunlop, Kilmarnock, East Ayrshire KA3",3,1,1,KA3
1707,Ralph Hendrie Legal,"6/5 Muirhouse Grove, Edinburgh EH4",2,1,1,EH4
1708,Allen & Harris - Helensburgh,"Station Road, Shandon, Helensburgh G84",3,1,2,G84
1709,Keller Williams Evolve,"Westland Drive, Whiteinch, Glasgow G14",3,3,1,G14
1710,Pacitti Jones,"9 Warriston Way, Springhall, Rutherglen, Glasgow G73",2,1,1,G73
1711,VMH Solicitors,"Murieston Place, Edinburgh EH11",1,1,1,EH11
1712,Coulters Stockbridge,"2/2 Meadowbank Place, Meadowbank, Edinburgh EH8",2,1,1,EH8
1713,Neilsons Solicitors & Estate Agents,"4/7 Wheatfield Place, Edinburgh EH11",1,1,1,EH11
1714,"Purplebricks, Head Office","Main Street, Plean FK7",3,2,1,FK7
1715,McArthur Stanton,"Buchanan Cres, Croftamie G63",2,1,1,G63
1716,Premier Properties Perth,"Stormont Road, Scone, Perth PH2",3,1,1,PH2
1717,Pacitti Jones,"1/1 203 Copland Road, Glasgow G51",1,1,1,G51
1718,Hemmings Homes,"Wheatlandhead Court, Blantyre, Glasgow G72",2,1,1,G72
1719,Highland Residential,"Carbisdale Gardens, Inverness IV2",2,1,1,IV2
1720,Hemmings Homes,"Dyfrig Street, Shotts ML7",2,1,1,ML7
1721,Remax,"Strathmore Terrace, Glamis, Forfar DD8",2,2,1,DD8
1722,Hemmings Homes,"Guthrie Court, Motherwell ML1",2,1,2,ML1
1723,Peachtree Property,"West Avenue, Renfrew PA4",2,1,1,PA4
1725,B-Spoke Property,"Benview, Bannockburn, Stirling FK7",4,2,3,FK7
1726,Simple Approach Estate Agents,"Alexandra Street, Perth PH2",1,1,1,PH2
1728,Slater Hogg & Howison - Bridge-Of-Weir,"Lewis Crescent, Kilbarchan, Johnstone PA10",4,2,2,PA10
1729,"Clyde Property, Helensburgh","Honeysuckle Court, East King Street, Helensburgh, Argyll And Bute G84",2,1,2,G84
