agent,price,address,beds,baths,receptions
Greig Residential,"£69,995","New Mill Road, Kilmarnock KA1",2 beds,1 bath,1 reception
Delmor Ltd (Leven),"£75,000","Landel Street, Markinch, Glenrothes KY7",1 bed,1 bath,1 reception
Arthur & Simpson,"£109,000","Mounthooly Street, Lerwick, Shetland ZE1",1 bed,1 bath,1 reception
National Property,"£25,000","Dempster Street, Greenock, Inverclyde PA15",1 bed,1 bath,1 reception
Mov8 Real Estate,"£185,000","Sloan Street, Leith, Edinburgh EH6",1 bed,1 bath,1 reception
"Purplebricks, Head Office","£110,000","Boyndie, Banff AB45",2 beds,1 bath,
Mov8 Real Estate,"£410,000","Aberdour Road, Dunfermline KY11",5 beds,3 baths,2 receptions
"Purplebricks, Head Office","£170,000","Beatlie Road, Winchburgh EH52",2 beds,1 bath,1 reception
British Homesellers,"£63,000","Bank Street, Brechin DD9",2 beds,1 bath,1 reception
Miller Homes - Millerbank,"£187,000","""Urquhart Mid"" at Kilbowie Road, Clydebank G81",3 beds,1 bath,1 reception
Miller Homes - Wallace Fields,"£331,000","""Chattan"" at Dochart Grove, Glasgow G33",4 beds,2 baths,2 receptions
Miller Homes - Highstonehall,"£220,000","""Crawford"" at Brora Crescent, Hamilton ML3",3 beds,2 baths,2 receptions
Tailor Made Moves Ltd,"£230,000","Time &amp; Tide, 28 High Street, Avoch IV9",3 beds,3 baths,1 reception
Bidwells Perth Rural,"£1,395,000","Merkland Farm, Bankhead, Dumfries DG1",3 beds,1 bath,1 reception
McEwan Fraser Legal,"£67,000","Main Street, Dunfermline, Fife KY12",2 beds,1 bath,1 reception
Tailor Made Moves Ltd,"£345,000","Daduse Tower Brae North, Westhill, Inverness. IV2",4 beds,4 baths,2 receptions
McEwan Fraser Legal,"£47,000","School Wynd, Paisley PA1",1 bed,1 bath,1 reception
McEwan Fraser Legal,"£155,000","Bothwell Road, Aberdeen AB24",2 beds,2 baths,1 reception
McEwan Fraser Legal,"£225,000","Tower Wynd, The Shore, Edinburgh EH6",2 beds,2 baths,1 reception
Yopa,"£230,000","Rigghouse Road, Whitburn, Bathgate EH47",3 beds,3 baths,1 reception
Yvonne Fitzgerald Properties,"£225,000","Southend, Lybster KW3",4 beds,4 baths,3 receptions
Town & Country Estate Agents,"£125,000","Glentrool Gardens, Moodiesburn G69",2 beds,,
Keys Estate Agents,"£144,950","Bannercross Drive, Garrowhill G69",3 beds,,
McEwan Fraser Legal,"£280,000","Hatters Lane, Broughton, Edinburgh EH7",2 beds,2 baths,1 reception
Keys Estate Agents,"£109,950","Alexandra Court, Dennistoun G31",2 beds,,
Bidwells Perth Rural,"£145,000",Dumfries DG1,,,
Bidwells Perth Rural,"£65,000","Lot 3 - Merkland Farm, Bankhead, Dumfries DG1",,,
Bidwells Perth Rural,"£35,000",Dumfries DG1,,,
Bidwells Perth Rural,"£150,000","Lot 2 - Merkland Farm, Bankhead, Dumfries DG1",,,
Bidwells Perth Rural,"£465,000",Dumfries DG1,,,
Bidwells Perth Rural,"£145,000",Dumfries DG1,,,
Bidwells Perth Rural,"£520,000",Dumfries DG1,5 beds,2 baths,1 reception
Express Estate Agency,"£90,000","Raven Crescent, Buckhaven, Leven, Fife KY8",3 beds,,
Bidwells Perth Rural,"£950,000","Lot 5 - Merkland Farm, Bankhead, Dumfries DG1",,,
Bidwells Perth Rural,"£1,310,000",Dumfries DG1,5 beds,2 baths,1 reception
Persimmon Homes - Croft Rise,"£285,000","""The Thurso"" at Glenboig Road, Gartcosh, Glasgow G69",4 beds,,3 receptions
"Purplebricks, Head Office","£112,000","Goldpark Place, Livingston EH54",2 beds,1 bath,1 reception
Green Door Property Auctions,"£170,000","St Clair Road, Edinburgh EH6",2 beds,1 bath,1 reception
Persimmon Homes - Croft Rise,"£197,000","""The Brodick"" at Glenboig Road, Gartcosh, Glasgow G69",3 beds,,2 receptions
Yopa,"£120,000","Creemills Walk, Newton Stewart DG8",3 beds,1 bath,1 reception
Aberdein Considine,"£87,000","Majors Loan, Falkirk FK1",1 bed,1 bath,1 reception
Yopa,"£125,000","Mansfield Court, Scone, Perth PH2",2 beds,1 bath,1 reception
Aberdein Considine,"£175,000","1/3, Oswald Street, Glasgow G1",2 beds,2 baths,1 reception
Jewel Homes,"£60,000","North Bute Street, Coatbridge, North Lanarkshire ML5",1 bed,,
